Address,Lot,Price,Image_Link,Link,Title,Lot Description
Cebu,57,3462230,https://www.unionbankph.com/sites/default/files/2025-08/Capture_14.PNG,https://www.unionbankph.com/foreclosed-properties/6659,Building Brgy. Mabolo Cebu City,Condominium
Laguna,81,1195430,https://www.unionbankph.com/sites/default/files/2025-09/Capture_39.PNG,https://www.unionbankph.com/foreclosed-properties/7097,"Subdivision, Barangay San Pablo Sur, Sta. Cruz, Laguna",House and Lot
NCR,62,8680000,https://www.unionbankph.com/sites/default/files/2022-11/4_10.PNG,https://www.unionbankph.com/foreclosed-properties/3306,"Barangay Bagumbayan, Quezon City, Metro Manila",Condominium
Cavite,716,5726000,https://www.unionbankph.com/sites/default/files/2023-02/A_13.PNG,https://www.unionbankph.com/foreclosed-properties/3442,"Subdivision, Barangay Tanauan, Tanza, Cavite",Vacant Lot
Batangas,219,10731000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20085723.png,https://www.unionbankph.com/foreclosed-properties/5329,"Subdivision, Barangay Niuyugan, Laurel, Batangas",Condominium
NCR,83,8162590,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-10%20151556.png,https://www.unionbankph.com/foreclosed-properties/5394,"Subdivision, Barangay Ususan, Taguig City",House and Lot
Negros Occidental,132,5498000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20150214.png,https://www.unionbankph.com/foreclosed-properties/5512,"Subdivision, Barangay Candau-ay Dumaguete City, Negros Oriental",House and Lot
NCR,53,1138000,https://www.unionbankph.com/sites/default/files/2025-04/Capture.PNG,https://www.unionbankph.com/foreclosed-properties/5945,"Barangay Talon Tres, Las Piñas City, Metropolitan Manila",House and Lot
NCR,13,3034000,https://www.unionbankph.com/sites/default/files/2025-07/Capture_56.PNG,https://www.unionbankph.com/foreclosed-properties/6513,"Barangay Fairview, Quezon City, Metro Manila",Condominium
NCR,139,16602000,https://www.unionbankph.com/sites/default/files/2022-11/2.2_5.PNG,https://www.unionbankph.com/foreclosed-properties/3305,"Barangay San Antonio, Pasig City, Metro Manila",Condominium
Batangas,3,6749000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20084211_0.png,https://www.unionbankph.com/foreclosed-properties/5327,"Barangay Matipok, Calaca City, Batangas",House and Lot
NCR,6,4335000,https://www.unionbankph.com/sites/default/files/2025-01/Capture_3.PNG,https://www.unionbankph.com/foreclosed-properties/5389,"Barangay Pulang Lupa Uno, Las Pinas City, Metro Manila",Condominium
Davao,48,3984000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20144912.png,https://www.unionbankph.com/foreclosed-properties/5507,"Building Camella Northpoint Condominium Complex, Davao City",Condominium
Pampanga,8,8442080,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-15%20140740.png,https://www.unionbankph.com/foreclosed-properties/5858,"BGY SAN PEDRO, SAN SIMON, PAMPANGA",Vacant Lot
NCR,56,3177140,https://www.unionbankph.com/sites/default/files/2025-06/Capture_10.PNG,https://www.unionbankph.com/foreclosed-properties/6216,"Barangay Sucat, Muntinlupa City, Metropolitan Manila",Condominium
Laguna,110,1617550,https://www.unionbankph.com/sites/default/files/2025-06/Capture_48.PNG,https://www.unionbankph.com/foreclosed-properties/6259,"Brgy Barandal, Calamba City, Province Of Laguna",House and Lot
Negros Occidental,44,5679700,https://www.unionbankph.com/sites/default/files/2025-06/Capture_104.PNG,https://www.unionbankph.com/foreclosed-properties/6318,"Barangay Poblacion, Makati City M.M.",Condominium
NCR,27,4947000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_34.PNG,https://www.unionbankph.com/foreclosed-properties/6683,"Barangay Fairview, Quezon City, Metro Manila",Condominium
Cavite,718,5742000,https://www.unionbankph.com/sites/default/files/2023-02/A_1.PNG,https://www.unionbankph.com/foreclosed-properties/3436,"Subdivision, Barangay Tanauan, Tanza, Cavite",Vacant Lot
Laguna,180,2646000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20155513.png,https://www.unionbankph.com/foreclosed-properties/5364,"Subdivision, Trails 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
NCR,36,4140000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20135017.png,https://www.unionbankph.com/foreclosed-properties/5455,"Barangay Katipunan, Quezon City",Condominium
NCR,58,4255000,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-13%20094513.png,https://www.unionbankph.com/foreclosed-properties/5830,,Condominium
Cavite,54,2430000,https://www.unionbankph.com/sites/default/files/2025-06/Capture_2.PNG,https://www.unionbankph.com/foreclosed-properties/6208,"Barangay Bucandala Iv, Imus City, Cavite",House and Lot
NCR,27,4364000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_24.PNG,https://www.unionbankph.com/foreclosed-properties/6674,"Barangay Hulo, Manda",Condominium
NCR,29,3438830,https://www.unionbankph.com/sites/default/files/2023-01/5_4.PNG,https://www.unionbankph.com/foreclosed-properties/3388,"Building 2, Aurora corner Balete Drive, Barangay Kaunlaran, Quezon City",Condominium
NCR,23,2705000,https://www.unionbankph.com/sites/default/files/2023-02/4_9.PNG,https://www.unionbankph.com/foreclosed-properties/3458,"Barangay Sto. Cristo, Quezon City, Metro Manila",Condominium
Laguna,159,2114700,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20151756.png,https://www.unionbankph.com/foreclosed-properties/5357,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
NCR,21,2717000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-14%20102149.png,https://www.unionbankph.com/foreclosed-properties/5428,"Barangay 396, Zone 41 (Sampaloc), Manila City",Condominium
Nueva Ecija,2,2402000,https://www.unionbankph.com/sites/default/files/2022-08/2c%20SARILE%201.PNG,https://www.unionbankph.com/foreclosed-properties/2875,"Barangay Daan Sarile, Cabanatuan City, Nueva Ecija",Vacant Lot
Laguna,289,3843700,https://www.unionbankph.com/sites/default/files/2022-09/CYPRESS%201.PNG,https://www.unionbankph.com/foreclosed-properties/3178,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
Nueva Ecija,2,2066000,https://www.unionbankph.com/sites/default/files/2022-08/2D.PNG,https://www.unionbankph.com/foreclosed-properties/2876,"Barangay Daan Sarile, Cabanatuan City, Nueva Ecija",Vacant Lot
Iloilo,99,3694000,https://www.unionbankph.com/sites/default/files/2022-10/GUAVA.PNG,https://www.unionbankph.com/foreclosed-properties/3148,"Subdivision, Brgy. Abilay Norte, Oton, Iloilo City",House and Lot
Laguna,195,2593500,https://www.unionbankph.com/sites/default/files/2022-07/812.PNG,https://www.unionbankph.com/foreclosed-properties/2741,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot
Iloilo,102,2142000,https://www.unionbankph.com/sites/default/files/2022-10/CHUCK.PNG,https://www.unionbankph.com/foreclosed-properties/3153,"Subdivision, Barangay Jibao-An, Pavia, Iloilo City",House and Lot
