Address,Lot,Price,Image_Link,Link
"Quezon City, NCR",FA: 27 sqm,"Php 3,186,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20101625.png,https://www.unionbankph.com/foreclosed-properties/5448
"BIÑAN, Laguna",LA: 617 sqm,"Php 11,020,300",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-23%20140634.png,https://www.unionbankph.com/foreclosed-properties/5708
"Cagayan de Oro City, Misamis Oriental",FA: 118 sqm • LA: 99 sqm,"Php 4,413,000",https://www.unionbankph.com/sites/default/files/2025-04/Capture_61.PNG,https://www.unionbankph.com/foreclosed-properties/6050
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_21.PNG,https://www.unionbankph.com/foreclosed-properties/6231
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture1_36.PNG,https://www.unionbankph.com/foreclosed-properties/6250
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_56.PNG,https://www.unionbankph.com/foreclosed-properties/6272
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_66.PNG,https://www.unionbankph.com/foreclosed-properties/6276
"Calamba City, Laguna",FA: 48 sqm • LA: 128 sqm,"Php 1,701,700",https://www.unionbankph.com/sites/default/files/2025-06/Capture_81.PNG,https://www.unionbankph.com/foreclosed-properties/6296
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_99.PNG,https://www.unionbankph.com/foreclosed-properties/6313
"Mandaluyong City, NCR",FA: 26 sqm,"Php 5,051,000",https://www.unionbankph.com/sites/default/files/2025-08/Capture_25.PNG,https://www.unionbankph.com/foreclosed-properties/6675
"Quezon City, NCR",FA: 68 sqm,"Php 8,508,000",https://www.unionbankph.com/sites/default/files/2023-02/6.3.PNG,https://www.unionbankph.com/foreclosed-properties/3422
"Makati City, NCR",FA: 104 sqm,"Php 26,107,600",https://www.unionbankph.com/sites/default/files/2024-02/2.PNG,https://www.unionbankph.com/foreclosed-properties/4286
"San Pedro, Laguna",LA: 135 sqm,"Php 1,795,500",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20151809.png,https://www.unionbankph.com/foreclosed-properties/5358
"Pasig City, NCR",FA: 23 sqm,"Php 3,634,000",https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20091951.png,https://www.unionbankph.com/foreclosed-properties/5445
"MUNTINLUPA, NCR",FA: 37 sqm,"Php 3,015,630",https://www.unionbankph.com/sites/default/files/2025-01/49.PNG,https://www.unionbankph.com/foreclosed-properties/5699
"Cagayan de Oro City, Misamis Oriental",FA: 88 sqm • LA: 107 sqm,"Php 4,400,000",https://www.unionbankph.com/sites/default/files/2025-04/Capture_59.PNG,https://www.unionbankph.com/foreclosed-properties/6048
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_20.PNG,https://www.unionbankph.com/foreclosed-properties/6230
"Calamba City, Laguna",FA: 48 sqm • LA: 86 sqm,"Php 1,505,350",https://www.unionbankph.com/sites/default/files/2025-06/Capture_38.PNG,https://www.unionbankph.com/foreclosed-properties/6248
"Calamba City, Laguna",FA: 48 sqm • LA: 83 sqm,"Php 1,491,330",https://www.unionbankph.com/sites/default/files/2025-06/Capture_55.PNG,https://www.unionbankph.com/foreclosed-properties/6271
"Calamba City, Laguna",FA: 48 sqm • LA: 80 sqm,"Php 1,477,300",https://www.unionbankph.com/sites/default/files/2025-06/Capture_73.PNG,https://www.unionbankph.com/foreclosed-properties/6289
"Calamba City, Laguna",FA: 48 sqm • LA: 145 sqm,"Php 1,781,180",https://www.unionbankph.com/sites/default/files/2025-06/Capture_93.PNG,https://www.unionbankph.com/foreclosed-properties/6308
