Address,Lot,Price,Image_Link,Link,Title,Lot Description,lat,long
Davao,48,3984000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-16%20144912.png,https://www.unionbankph.com/foreclosed-properties/5507,"Building Camella Northpoint Condominium Complex, Davao City",Condominium,NULL,NULL
Pampanga,8,8442080,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-15%20140740.png,https://www.unionbankph.com/foreclosed-properties/5858,"BGY SAN PEDRO, SAN SIMON, PAMPANGA",Vacant Lot,NULL,NULL
NCR,56,3177140,https://www.unionbankph.com/sites/default/files/2025-06/Capture_10.PNG,https://www.unionbankph.com/foreclosed-properties/6216,"Barangay Sucat, Muntinlupa City, Metropolitan Manila",Condominium,NULL,NULL
Laguna,110,1617550,https://www.unionbankph.com/sites/default/files/2025-06/Capture_48.PNG,https://www.unionbankph.com/foreclosed-properties/6259,"Brgy Barandal, Calamba City, Province Of Laguna",House and Lot,14.1882628,121.1302804
Negros Occidental,44,5679700,https://www.unionbankph.com/sites/default/files/2025-06/Capture_104.PNG,https://www.unionbankph.com/foreclosed-properties/6318,"Barangay Poblacion, Makati City M.M.",Condominium,NULL,NULL
NCR,27,4947000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_34.PNG,https://www.unionbankph.com/foreclosed-properties/6683,"Barangay Fairview, Quezon City, Metro Manila",Condominium,14.7229789,121.0632623
Cavite,718,5742000,https://www.unionbankph.com/sites/default/files/2023-02/A_1.PNG,https://www.unionbankph.com/foreclosed-properties/3436,"Subdivision, Barangay Tanauan, Tanza, Cavite",Vacant Lot,NULL,NULL
Laguna,180,2646000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20155513.png,https://www.unionbankph.com/foreclosed-properties/5364,"Subdivision, Trails 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot,NULL,NULL
NCR,36,4140000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-15%20135017.png,https://www.unionbankph.com/foreclosed-properties/5455,"Barangay Katipunan, Quezon City",Condominium,14.6557648,121.0176407
NCR,58,4255000,https://www.unionbankph.com/sites/default/files/2025-03/Screenshot%202025-03-13%20094513.png,https://www.unionbankph.com/foreclosed-properties/5830,NULL,Condominium,34.220389,70.3800314
Cavite,54,2430000,https://www.unionbankph.com/sites/default/files/2025-06/Capture_2.PNG,https://www.unionbankph.com/foreclosed-properties/6208,"Barangay Bucandala Iv, Imus City, Cavite",House and Lot,NULL,NULL
NCR,27,4364000,https://www.unionbankph.com/sites/default/files/2025-08/Capture_24.PNG,https://www.unionbankph.com/foreclosed-properties/6674,"Barangay Hulo, Manda",Condominium,NULL,NULL
NCR,29,3438830,https://www.unionbankph.com/sites/default/files/2023-01/5_4.PNG,https://www.unionbankph.com/foreclosed-properties/3388,"Building 2, Aurora corner Balete Drive, Barangay Kaunlaran, Quezon City",Condominium,NULL,NULL
NCR,23,2705000,https://www.unionbankph.com/sites/default/files/2023-02/4_9.PNG,https://www.unionbankph.com/foreclosed-properties/3458,"Barangay Sto. Cristo, Quezon City, Metro Manila",Condominium,NULL,NULL
Laguna,159,2114700,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-09%20151756.png,https://www.unionbankph.com/foreclosed-properties/5357,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot,NULL,NULL
NCR,21,2717000,https://www.unionbankph.com/sites/default/files/2025-01/Screenshot%202025-01-14%20102149.png,https://www.unionbankph.com/foreclosed-properties/5428,"Barangay 396, Zone 41 (Sampaloc), Manila City",Condominium,NULL,NULL
Nueva Ecija,2,2402000,https://www.unionbankph.com/sites/default/files/2022-08/2c%20SARILE%201.PNG,https://www.unionbankph.com/foreclosed-properties/2875,"Barangay Daan Sarile, Cabanatuan City, Nueva Ecija",Vacant Lot,15.5081469,120.9702605
Laguna,289,3843700,https://www.unionbankph.com/sites/default/files/2022-09/CYPRESS%201.PNG,https://www.unionbankph.com/foreclosed-properties/3178,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot,NULL,NULL
Nueva Ecija,2,2066000,https://www.unionbankph.com/sites/default/files/2022-08/2D.PNG,https://www.unionbankph.com/foreclosed-properties/2876,"Barangay Daan Sarile, Cabanatuan City, Nueva Ecija",Vacant Lot,15.5081469,120.9702605
Iloilo,99,3694000,https://www.unionbankph.com/sites/default/files/2022-10/GUAVA.PNG,https://www.unionbankph.com/foreclosed-properties/3148,"Subdivision, Brgy. Abilay Norte, Oton, Iloilo City",House and Lot,NULL,NULL
Laguna,195,2593500,https://www.unionbankph.com/sites/default/files/2022-07/812.PNG,https://www.unionbankph.com/foreclosed-properties/2741,"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",Vacant Lot,NULL,NULL
Iloilo,102,2142000,https://www.unionbankph.com/sites/default/files/2022-10/CHUCK.PNG,https://www.unionbankph.com/foreclosed-properties/3153,"Subdivision, Barangay Jibao-An, Pavia, Iloilo City",House and Lot,NULL,NULL
